Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,90.940002,91.339996,90.150002,90.889999,85.801048,10360600
2017-01-04,91.120003,91.150002,89.750000,89.889999,84.857048,9434200
2017-01-05,90.190002,90.300003,88.440002,88.550003,83.592079,14443200
2017-01-06,88.790001,88.980003,87.820000,88.500000,83.544876,16518100
2017-01-09,88.220001,88.220001,86.550003,87.040001,82.166618,13688100
2017-01-10,87.169998,87.309998,85.910004,85.930000,81.118767,13283100
2017-01-11,85.900002,86.949997,85.860001,86.809998,81.949493,11183700
2017-01-12,87.269997,87.379997,86.070000,86.339996,81.505814,10407000
2017-01-13,86.269997,86.680000,86.169998,86.349998,81.515251,8415600
2017-01-17,86.580002,87.389999,86.250000,87.360001,82.468697,13198300
2017-01-18,87.059998,87.410004,86.050003,86.279999,81.449165,11831700
2017-01-19,85.970001,86.099998,84.589996,84.730003,79.985962,16382900
2017-01-20,85.440002,85.959999,85.050003,85.889999,81.081001,18739700
2017-01-23,85.680000,85.879997,84.750000,84.970001,80.212517,11433900
2017-01-24,84.980003,85.470001,84.830002,85.089996,80.325798,11858100
2017-01-25,85.339996,85.879997,85.250000,85.339996,80.561798,9578500
2017-01-26,85.690002,85.830002,85.120003,85.599998,80.807243,8779400
2017-01-27,85.300003,85.750000,85.040001,85.510002,80.722282,10947900
2017-01-30,85.419998,85.449997,84.180000,84.860001,80.108681,12789200
2017-01-31,85.040001,85.070000,83.129997,83.889999,79.192986,19128100
2017-02-01,84.000000,84.160004,82.540001,82.940002,78.296181,15111800
2017-02-02,83.209999,83.529999,82.550003,83.449997,78.777626,12200100
2017-02-03,83.699997,83.720001,82.900002,83.540001,78.862587,12746300
2017-02-06,83.550003,83.650002,82.930000,83.309998,78.645462,9938200
2017-02-07,83.230003,83.620003,82.449997,82.769997,78.135689,11705200
2017-02-08,81.989998,82.120003,81.169998,81.480003,77.621277,14006300
2017-02-09,81.480003,82.050003,81.480003,81.839996,77.964226,9603000
2017-02-10,82.260002,82.769997,82.129997,82.519997,78.612015,8739800
2017-02-13,82.769997,83.180000,82.349998,83.000000,79.069290,9071600
